Country,Year,Opioid Deaths,Cocaine Deaths ,Other Drug Use Deaths,Amphetamine Deaths,Total Drug Use Deaths 
India,1990,2678,131,567,91,3467
India,1991,2745,136,583,94,3558
India,1992,2790,138,590,96,3614
India,1993,2886,144,620,99,3749
India,1994,3005,152,658,105,3920
India,1995,3064,156,676,107,4003
India,1996,3213,166,722,113,4214
India,1997,3495,183,803,125,4606
India,1998,3649,193,852,132,4826
India,1999,3781,202,890,140,5013
India,2000,3856,208,916,144,5124
India,2001,3957,216,957,148,5278
India,2002,4056,225,1000,154,5435
India,2003,4115,232,1022,158,5527
India,2004,4218,243,1064,166,5691
India,2005,4673,275,1211,189,6348
India,2006,4471,270,1188,183,6112
India,2007,4427,276,1202,186,6091
India,2008,4415,284,1230,191,6120
India,2009,4457,297,1263,199,6216
India,2010,4458,305,1268,203,6234
India,2011,4443,307,1267,203,6220
India,2012,4276,301,1248,198,6023
India,2013,4585,323,1375,212,6495
India,2014,4661,328,1422,214,6625
India,2015,4918,347,1498,223,6986
India,2016,5122,367,1582,235,7306
India,2017,5301,382,1652,244,7579
India,2018,5623,409,1788,263,8083
India,2019,5865,432,1890,278,8465
United States,1990,4352,574,708,231,5865
United States,1991,4600,622,685,244,6151
United States,1992,4972,675,686,263,6596
United States,1993,5495,756,723,296,7270
United States,1994,5960,836,745,322,7863
United States,1995,6421,918,779,348,8466
United States,1996,6937,1008,812,379,9136
United States,1997,7652,1150,880,431,10113
United States,1998,8445,1326,977,495,11243
United States,1999,9469,1626,1189,611,12895
United States,2000,10586,1856,1416,720,14578
United States,2001,11922,2131,1647,844,16544
United States,2002,13737,2437,1868,996,19038
United States,2003,15491,2747,2055,1154,21447
United States,2004,17020,3005,2156,1274,23455
United States,2005,18619,3269,2299,1426,25613
United States,2006,19905,3445,2399,1527,27276
United States,2007,20753,3477,2456,1565,28251
United States,2008,21614,3512,2533,1605,29264
United States,2009,22645,3545,2636,1655,30481
United States,2010,23816,3592,2696,1694,31798
United States,2011,25538,3814,2880,1838,34070
United States,2012,27200,4043,3059,1982,36284
United States,2013,29494,4385,3307,2180,39366
United States,2014,32543,4864,3647,2462,43516
United States,2015,36564,5517,4130,2875,49086
United States,2016,41449,6364,4770,3445,56028
United States,2017,44198,7188,5228,3904,60518
United States,2018,45479,7765,5441,4186,62871
United States,2019,47337,8323,5620,4437,65717
China,1990,14879,481,6278,5453,27091
China,1991,16889,568,7089,6253,30799
China,1992,18271,635,7561,6807,33274
China,1993,19183,686,7830,7150,34849
China,1994,20346,750,8302,7766,37164
China,1995,21131,794,8603,8139,38667
China,1996,21266,811,8658,8134,38869
China,1997,20616,798,8418,7824,37656
China,1998,20539,810,8408,7788,37545
China,1999,19649,788,8048,7369,35854
China,2000,18963,784,7881,7097,34725
China,2001,16538,686,6887,6089,30200
China,2002,13717,561,5704,4866,24848
China,2003,10494,422,4350,3591,18857
China,2004,8336,332,3535,2826,15029
China,2005,7273,291,3076,2383,13023
China,2006,6468,260,2761,2092,11581
China,2007,5980,238,2591,1914,10723
China,2008,5716,233,2524,1815,10288
China,2009,5504,229,2491,1757,9981
China,2010,5357,229,2513,1739,9838
China,2011,5195,225,2460,1687,9567
China,2012,4968,221,2372,1610,9171
China,2013,4857,224,2331,1577,8989
China,2014,4812,231,2354,1584,8981
China,2015,4737,234,2331,1570,8872
China,2016,4756,245,2365,1598,8964
China,2017,4973,270,2543,1712,9498
China,2018,5552,302,2813,1902,10569
China,2019,6009,331,3042,2064,11446
Denmark,1990,110,7,34,10,161
Denmark,1991,117,7,35,11,170
Denmark,1992,125,8,37,12,182
Denmark,1993,134,8,40,12,194
Denmark,1994,141,9,42,13,205
Denmark,1995,143,9,41,13,206
Denmark,1996,136,9,41,13,199
Denmark,1997,139,9,41,12,201
Denmark,1998,139,8,39,12,198
Denmark,1999,141,9,40,12,202
Denmark,2000,139,8,37,11,195
Denmark,2001,139,8,35,11,193
Denmark,2002,136,8,34,11,189
Denmark,2003,136,8,32,11,187
Denmark,2004,137,8,33,11,189
Denmark,2005,143,9,33,11,196
Denmark,2006,147,9,35,12,203
Denmark,2007,150,9,36,13,208
Denmark,2008,158,10,37,13,218
Denmark,2009,163,10,38,14,225
Denmark,2010,160,9,37,13,219
Denmark,2011,159,9,36,12,216
Denmark,2012,151,8,34,12,205
Denmark,2013,149,8,32,11,200
Denmark,2014,146,8,32,11,197
Denmark,2015,143,8,31,11,193
Denmark,2016,144,8,31,11,194
Denmark,2017,144,8,32,11,195
Denmark,2018,145,8,32,11,196
Denmark,2019,146,8,32,12,198
Germany,1990,956,28,129,27,1140
Germany,1991,1127,32,149,31,1339
Germany,1992,1224,34,156,31,1445
Germany,1993,1256,34,156,30,1476
Germany,1994,1276,34,154,29,1493
Germany,1995,1294,34,146,25,1499
Germany,1996,1289,33,150,27,1499
Germany,1997,1239,34,157,30,1460
Germany,1998,1193,43,167,39,1442
Germany,1999,1198,45,183,45,1471
Germany,2000,1205,50,208,52,1515
Germany,2001,1159,51,220,56,1486
Germany,2002,1098,52,227,58,1435
Germany,2003,1066,51,233,60,1410
Germany,2004,1018,50,228,58,1354
Germany,2005,1005,51,228,58,1342
Germany,2006,989,50,228,58,1325
Germany,2007,999,51,234,60,1344
Germany,2008,1018,53,240,62,1373
Germany,2009,1015,53,244,63,1375
Germany,2010,1008,53,247,63,1371
Germany,2011,995,53,245,62,1355
Germany,2012,998,53,243,62,1356
Germany,2013,1019,55,252,64,1390
Germany,2014,1045,56,256,65,1422
Germany,2015,1099,60,274,71,1504
Germany,2016,1146,63,278,74,1561
Germany,2017,1166,65,280,76,1587
Germany,2018,1197,67,287,79,1630
Germany,2019,1232,69,294,83,1678
Russia,1990,3809,134,378,175,4496
Russia,1991,4142,144,422,194,4902
Russia,1992,4788,166,530,242,5726
Russia,1993,5863,207,731,341,7142
Russia,1994,6538,231,868,412,8049
Russia,1995,6467,218,851,405,7941
Russia,1996,6359,203,796,381,7739
Russia,1997,6303,193,744,363,7603
Russia,1998,6650,199,776,394,8019
Russia,1999,7538,227,933,502,9200
Russia,2000,8242,249,1038,578,10107
Russia,2001,8029,244,1008,546,9827
Russia,2002,7833,243,992,528,9596
Russia,2003,8228,257,1076,583,10144
Russia,2004,8695,274,1169,647,10785
Russia,2005,9868,320,1424,824,12436
Russia,2006,9886,321,1378,809,12394
Russia,2007,9558,319,1323,772,11972
Russia,2008,9414,327,1330,760,11831
Russia,2009,8544,298,1196,648,10686
Russia,2010,8321,294,1195,634,10444
Russia,2011,7591,271,1072,551,9485
Russia,2012,7293,263,1042,527,9125
Russia,2013,7025,255,1025,501,8806
Russia,2014,6782,250,1025,481,8538
Russia,2015,6046,222,906,392,7566
Russia,2016,5500,198,811,323,6832
Russia,2017,4977,177,728,273,6155
Russia,2018,4887,172,709,263,6031
Russia,2019,4764,168,693,252,5877
United Kingdom,1990,555,32,231,49,867
United Kingdom,1991,596,32,235,49,912
United Kingdom,1992,658,32,232,49,971
United Kingdom,1993,741,30,218,47,1036
United Kingdom,1994,845,31,216,48,1140
United Kingdom,1995,946,31,225,52,1254
United Kingdom,1996,1076,33,230,54,1393
United Kingdom,1997,1218,36,240,58,1552
United Kingdom,1998,1379,43,258,65,1745
United Kingdom,1999,1529,49,266,71,1915
United Kingdom,2000,1591,55,257,73,1976
United Kingdom,2001,1621,65,263,84,2033
United Kingdom,2002,1613,72,265,91,2041
United Kingdom,2003,1595,78,263,95,2031
United Kingdom,2004,1609,82,263,97,2051
United Kingdom,2005,1645,90,272,104,2111
United Kingdom,2006,1724,100,296,115,2235
United Kingdom,2007,1810,109,316,123,2358
United Kingdom,2008,1883,116,339,131,2469
United Kingdom,2009,1876,115,348,131,2470
United Kingdom,2010,1851,113,350,129,2443
United Kingdom,2011,1805,111,356,127,2399
United Kingdom,2012,1802,110,361,125,2398
United Kingdom,2013,1859,114,384,130,2487
United Kingdom,2014,1925,120,399,133,2577
United Kingdom,2015,2011,124,422,139,2696
United Kingdom,2016,2071,129,441,145,2786
United Kingdom,2017,2061,127,441,145,2774
United Kingdom,2018,1992,123,429,142,2686
United Kingdom,2019,1968,121,424,140,2653
Japan,1990,128,12,105,7,252
Japan,1991,137,13,111,8,269
Japan,1992,146,14,115,8,283
Japan,1993,153,15,115,8,291
Japan,1994,161,17,112,9,299
Japan,1995,183,20,112,11,326
Japan,1996,198,22,111,12,343
Japan,1997,210,24,112,13,359
Japan,1998,218,27,120,15,380
Japan,1999,238,30,121,17,406
Japan,2000,241,31,120,18,410
Japan,2001,245,32,118,18,413
Japan,2002,248,32,117,18,415
Japan,2003,255,32,118,18,423
Japan,2004,260,34,119,19,432
Japan,2005,266,34,121,19,440
Japan,2006,266,35,122,19,442
Japan,2007,272,35,124,19,450
Japan,2008,274,35,126,19,454
Japan,2009,280,35,127,19,461
Japan,2010,279,35,133,19,466
Japan,2011,286,36,138,19,479
Japan,2012,275,34,141,18,468
Japan,2013,269,33,145,17,464
Japan,2014,266,33,150,17,466
Japan,2015,257,32,154,17,460
Japan,2016,256,32,160,17,465
Japan,2017,258,32,161,16,467
Japan,2018,264,32,165,17,478
Japan,2019,269,33,170,17,489
Mexico,1990,75,148,50,21,294
Mexico,1991,77,146,50,21,294
Mexico,1992,76,151,50,22,299
Mexico,1993,85,162,53,24,324
Mexico,1994,86,171,58,25,340
Mexico,1995,92,184,62,27,365
Mexico,1996,95,197,67,28,387
Mexico,1997,101,222,75,32,430
Mexico,1998,105,248,84,36,473
Mexico,1999,106,261,89,39,495
Mexico,2000,108,267,89,39,503
Mexico,2001,105,262,87,37,491
Mexico,2002,103,257,86,37,483
Mexico,2003,104,255,87,37,483
Mexico,2004,105,249,86,36,476
Mexico,2005,104,248,88,37,477
Mexico,2006,102,237,84,36,459
Mexico,2007,102,234,82,35,453
Mexico,2008,103,230,86,37,456
Mexico,2009,101,219,86,37,443
Mexico,2010,98,208,84,35,425
Mexico,2011,100,204,84,34,422
Mexico,2012,100,203,85,34,422
Mexico,2013,105,213,91,37,446
Mexico,2014,107,217,94,38,456
Mexico,2015,112,224,99,40,475
Mexico,2016,117,235,106,43,501
Mexico,2017,124,250,117,50,541
Mexico,2018,131,268,127,54,580
Mexico,2019,135,274,131,56,596
European Region (WHO),1990,10057,387,1321,441,12206
European Region (WHO),1991,11179,421,1455,490,13545
European Region (WHO),1992,12423,459,1615,557,15054
European Region (WHO),1993,13944,508,1848,666,16966
European Region (WHO),1994,15111,540,2036,758,18445
European Region (WHO),1995,15503,535,2077,768,18883
European Region (WHO),1996,15616,517,2055,750,18938
European Region (WHO),1997,15675,511,2033,739,18958
European Region (WHO),1998,16134,535,2104,789,19562
European Region (WHO),1999,17318,583,2331,925,21157
European Region (WHO),2000,18244,633,2515,1030,22422
European Region (WHO),2001,17977,649,2541,1023,22190
European Region (WHO),2002,17671,662,2572,1028,21933
European Region (WHO),2003,17979,693,2691,1100,22463
European Region (WHO),2004,18497,731,2823,1187,23238
European Region (WHO),2005,19796,802,3136,1390,25124
European Region (WHO),2006,19824,819,3130,1397,25170
European Region (WHO),2007,19715,844,3141,1394,25094
European Region (WHO),2008,19697,867,3179,1398,25141
European Region (WHO),2009,18604,829,3015,1268,23716
European Region (WHO),2010,18204,816,2995,1243,23258
European Region (WHO),2011,17284,787,2865,1154,22090
European Region (WHO),2012,16966,781,2835,1130,21712
European Region (WHO),2013,16804,786,2854,1118,21562
European Region (WHO),2014,16627,792,2877,1107,21403
European Region (WHO),2015,16394,791,2875,1078,21138
European Region (WHO),2016,15976,781,2799,1013,20569
European Region (WHO),2017,15549,767,2734,972,20022
European Region (WHO),2018,15638,780,2751,980,20149
European Region (WHO),2019,15753,799,2782,994,20328
